KOR_1,KOR_18,KOR_2,KOR_3,KOR_4,KOR_5,KOR_6,KOR_7,KOR_8,KOR_9,CPI_China,CPI_Euro,CPI_G20,CPI_G7,CPI_OECD,China_exports,China_imports,China_trade_balance,Euro_Composite_business_confidence,Euro_Composite_consumer_confidence,G20_Composite_business_confidence,G20_Composite_consumer_confidence,G20_Composite_leading_indicator,G20_exports,G20_imports,G20_trade_balance,G7_Composite_business_confidence,G7_Composite_consumer_confidence,G7_Composite_leading_indicator,G7_exports,G7_imports,G7_trade_balance,OECD_Composite_business_confidence,OECD_Composite_consumer_confidence,OECD_exports,OECD_imports,OECD_trade_balance,WGS10YR,WTB1YR,WTB6MS,WCURRNS,WDDNS,MORTGAGE30US,FF,WPCREDIT,WPRIME,CURRCIR,EXPINF1YR,EXPINF2YR,EXPINF30YR,IRLTLT01USM156N,LNU02000000,LNU02300000,REAINTRATREARAT10Y,REAINTRATREARAT1YE,UNRATENSA,DEXKOUS,DJIA,NASDAQCOM,KOR_10,KOR_11,KOR_12,KOR_13,KOR_14,KOR_15,KOR_16,KOR_17
178203.6968,22.28935484,19984.77419,765029.1419,24.26064516,22.90580645,23.64419355,23.71193548,22.03080645,22.03080645,23.30322581,22.91483871,23.46659677,23.06391613,23.2482871,40.78080323,35.38030323,5.400479677,22.9199871,22.84556129,22.64206452,22.7547871,22.64454839,267.3453548,264.2633226,3.081912581,22.83257742,22.81010968,22.64752903,111.5287419,121.0341774,-9.505435484,22.76508387,22.73146129,206.463171,210.9874968,-4.524332581,2.55,0.99,0.85,1448.1,1352.7,4.21,0.66,1.25,3.75,344.8333226,0.339420561,0.366160087,0.499426155,0.56,34464.3871,13.5483871,0.20695229,-0.035839187,1.038709677,1153.482,20899.2,5844.238,2091.846,606.848,1.42,1.49,1.7766,1.9858,1.51,1.25
178203.6968,22.28935484,19984.77419,765029.1419,24.26064516,22.90580645,23.64419355,23.71193548,22.03080645,22.03080645,23.30322581,22.91483871,23.46659677,23.06391613,23.2482871,40.78080323,35.38030323,5.400479677,22.9199871,22.84556129,22.64206452,22.7547871,22.64454839,267.3453548,264.2633226,3.081912581,22.83257742,22.81010968,22.64752903,111.5287419,121.0341774,-9.505435484,22.76508387,22.73146129,206.463171,210.9874968,-4.524332581,2.55,1.00,0.88,1450.9,1337.6,4.30,0.66,1.25,3.75,344.8333226,0.339420561,0.366160087,0.499426155,0.56,34464.3871,13.5483871,0.20695229,-0.035839187,1.038709677,1144.056,20903.624,5886.882,2139.806,613.106,1.43,1.486,1.7304,1.9418,1.4906,1.25
178203.6968,22.28935484,19984.77419,765029.1419,24.26064516,22.90580645,23.64419355,23.71193548,22.03080645,22.03080645,23.30322581,22.91483871,23.46659677,23.06391613,23.2482871,40.78080323,35.38030323,5.400479677,22.9199871,22.84556129,22.64206452,22.7547871,22.64454839,267.3453548,264.2633226,3.081912581,22.83257742,22.81010968,22.64752903,111.5287419,121.0341774,-9.505435484,22.76508387,22.73146129,206.463171,210.9874968,-4.524332581,2.42,0.96,0.88,1453.0,1424.7,4.23,0.91,1.50,4.00,344.8333226,0.339420561,0.366160087,0.499426155,0.56,34464.3871,13.5483871,0.20695229,-0.035839187,1.038709677,1116.606,20697.694,5832.686,2169.072,608.024,1.43,1.476,1.6694,1.8596,1.4826,1.25
180078.9748,22.48763441,20220.64538,773468.9138,24.54036559,23.15262366,24.00004301,23.62909677,22.23242366,22.23242366,23.52516129,23.17174194,23.71351484,23.30589914,23.49406602,41.12836516,34.73535849,6.392994151,23.14645935,23.06916473,22.85664989,22.97670602,22.86581742,261.1799677,258.5480495,2.631827196,23.04871054,23.02780215,22.86671312,108.4678804,118.8465505,-10.37867077,22.98287419,22.9550114,200.4369602,205.8449482,-5.407989462,2.40,1.00,0.89,1456.2,1539.4,4.14,0.91,1.50,4.00,348.9409828,0.357021238,0.375363119,0.502382514,0.553333333,34834.88602,13.69075269,0.198873318,-0.063236286,1.015268817,1112.736,20660.702,5887.828,2162.164,613.388,1.426,1.458,1.6574,1.8484,1.4766,1.25
184767.17,22.98333333,20810.32333,794568.3433,25.23966667,23.76966667,24.88966667,23.422,22.73646667,22.73646667,24.08,23.814,24.33081,23.91085667,24.10851333,41.99727,33.12299667,8.874280333,23.71264,23.62817333,23.39311333,23.53150333,23.41899,245.7665,244.2598667,1.506613733,23.58904333,23.57203333,23.41467333,100.8157267,113.3774833,-12.561759,23.52735,23.51388667,185.3714333,192.9885767,-7.617131667,2.35,1.01,0.91,1459.7,1616.9,4.10,0.87,1.50,4.00,359.2101333,0.40102293,0.3983707,0.509773413,0.536666667,35761.13333,14.04666667,0.178675887,-0.131729033,0.956666667,1126.388,20661.33,5882.906,2158.788,629.592,1.406,1.45,1.6656,1.8392,1.4636,1.25
184767.17,22.98333333,20810.32333,794568.3433,25.23966667,23.76966667,24.88966667,23.422,22.73646667,22.73646667,24.08,23.814,24.33081,23.91085667,24.10851333,41.99727,33.12299667,8.874280333,23.71264,23.62817333,23.39311333,23.53150333,23.41899,245.7665,244.2598667,1.506613733,23.58904333,23.57203333,23.41467333,100.8157267,113.3774833,-12.561759,23.52735,23.51388667,185.3714333,192.9885767,-7.617131667,2.30,1.02,0.93,1464.2,1339.3,4.08,0.91,1.50,4.00,359.2101333,0.40102293,0.3983707,0.509773413,0.536666667,35761.13333,14.04666667,0.178675887,-0.131729033,0.956666667,1140.29,20588.6075,5847.2525,2133.914,620.922,1.386,1.436,1.6904,1.8824,1.4692,1.25
184767.17,22.98333333,20810.32333,794568.3433,25.23966667,23.76966667,24.88966667,23.422,22.73646667,22.73646667,24.08,23.814,24.33081,23.91085667,24.10851333,41.99727,33.12299667,8.874280333,23.71264,23.62817333,23.39311333,23.53150333,23.41899,245.7665,244.2598667,1.506613733,23.58904333,23.57203333,23.41467333,100.8157267,113.3774833,-12.561759,23.52735,23.51388667,185.3714333,192.9885767,-7.617131667,2.23,0.99,0.91,1464.7,1395.3,3.97,0.91,1.50,4.00,359.2101333,0.40102293,0.3983707,0.509773413,0.536666667,35761.13333,14.04666667,0.178675887,-0.131729033,0.956666667,1138.204,20538.232,5879.318,2149.366,634.19,1.38,1.42,1.6754,1.8454,1.473,1.25
184767.17,22.98333333,20810.32333,794568.3433,25.23966667,23.76966667,24.88966667,23.422,22.73646667,22.73646667,24.08,23.814,24.33081,23.91085667,24.10851333,41.99727,33.12299667,8.874280333,23.71264,23.62817333,23.39311333,23.53150333,23.41899,245.7665,244.2598667,1.506613733,23.58904333,23.57203333,23.41467333,100.8157267,113.3774833,-12.561759,23.52735,23.51388667,185.3714333,192.9885767,-7.617131667,2.31,1.04,0.96,1465.3,1465.6,4.03,0.91,1.50,4.00,359.2101333,0.40102293,0.3983707,0.509773413,0.536666667,35761.13333,14.04666667,0.178675887,-0.131729033,0.956666667,1132.544,20931.388,6026.218,2198.666,630.73,1.386,1.414,1.6816,1.8686,1.4802,1.25
178629.7935,22.18096774,20384.09032,771427.1419,24.13419355,22.67774194,23.85645161,21.92806452,22.02651613,22.02651613,23.32580645,23.02548387,23.57473548,23.15697097,23.34576774,43.13221613,33.92069032,9.211532581,22.97998387,22.89176129,22.64935806,22.77994194,22.68180645,257.6036129,261.5545484,-3.950982903,22.83887742,22.80970323,22.66952258,105.3062387,120.1704677,-14.8642471,22.78445806,22.77129355,196.5769129,209.2719323,-12.69502613,2.33,1.07,0.98,1468.3,1527.0,4.02,0.88,1.50,4.00,349.5851935,0.353343358,0.366775026,0.492091306,0.519354839,34640.29032,13.59354839,0.175318116,-0.091682929,0.925806452,1133.194,20955.932,6087.124,2230.455,630.77,1.38,1.41,1.6855,1.889,1.466,1.25
178629.7935,22.18096774,20384.09032,771427.1419,24.13419355,22.67774194,23.85645161,21.92806452,22.02651613,22.02651613,23.32580645,23.02548387,23.57473548,23.15697097,23.34576774,43.13221613,33.92069032,9.211532581,22.97998387,22.89176129,22.64935806,22.77994194,22.68180645,257.6036129,261.5545484,-3.950982903,22.83887742,22.80970323,22.66952258,105.3062387,120.1704677,-14.8642471,22.78445806,22.77129355,196.5769129,209.2719323,-12.69502613,2.39,1.10,1.01,1472.7,1358.7,4.05,0.91,1.50,4.00,349.5851935,0.353343358,0.366775026,0.492091306,0.519354839,34640.29032,13.59354839,0.175318116,-0.091682929,0.925806452,1129.814,20949.44,6117.916,2286.3175,644.345,1.37,1.405,1.71925,1.938,1.4685,1.25
